Gennemsnitlig udgift pr. voksen autist ved brug af botilbud,2018,2019,2020,2021,2022,Velfærdsområde,Sektor
Ingen botilbud,13.693.00 kr.,12.466.00 kr.,11.663.00 kr.,11.552.00 kr.,11.392.00 kr.,Sundhedsområdet,Region
Ingen botilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Sundhedsområdet,Stat
Ingen botilbud,20.252.00 kr.,18.241.00 kr.,16.910.00 kr.,16.724.00 kr.,16.039.00 kr.,Sundhedsområdet,I alt
Ingen botilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Uddannelsesområdet,Kommune
Ingen botilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Uddannelsesområdet,Region
Ingen botilbud,33.016.00 kr.,32.722.00 kr.,32.882.00 kr.,32.680.00 kr.,31.822.00 kr.,Uddannelsesområdet,Stat
Ingen botilbud,33.016.00 kr.,32.722.00 kr.,32.882.00 kr.,32.680.00 kr.,31.822.00 kr.,Uddannelsesområdet,I alt
Aktivitets- og samværstilbud,1.757.990.00 kr.,1.741.569.00 kr.,1.757.787.00 kr.,1.742.888.00 kr.,1.731.975.00 kr.,I alt,I alt
Aktivitets- og samværstilbud,125.786.00 kr.,125.990.00 kr.,127.704.00 kr.,125.585.00 kr.,125.308.00 kr.,Beskæftigelsesområd,Kommune
Aktivitets- og samværstilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Beskæftigelsesområd,Region
Aktivitets- og samværstilbud,73.035.00 kr.,74.118.00 kr.,76.577.00 kr.,75.558.00 kr.,75.849.00 kr.,Beskæftigelsesområd,Stat
Aktivitets- og samværstilbud,198.821.00 kr.,200.108.00 kr.,204.281.00 kr.,201.142.00 kr.,201.158.00 kr.,Beskæftigelsesområd,I alt
Aktivitets- og samværstilbud,691.197.00 kr.,686.261.00 kr.,691.944.00 kr.,686.088.00 kr.,682.912.00 kr.,Socialområdet,Kommune
Aktivitets- og samværstilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Socialområdet,Region
Aktivitets- og samværstilbud,70.553.00 kr.,69.749.00 kr.,70.725.00 kr.,70.036.00 kr.,69.502.00 kr.,Socialområdet,Stat
Aktivitets- og samværstilbud,761.750.00 kr.,756.010.00 kr.,762.669.00 kr.,756.124.00 kr.,752.414.00 kr.,Socialområdet,I alt
Aktivitets- og samværstilbud,7.012.00 kr.,5.052.00 kr.,5.354.00 kr.,6.034.00 kr.,4.855.00 kr.,Sundhedsområdet,Kommune
Aktivitets- og samværstilbud,24.521.00 kr.,20.673.00 kr.,19.300.00 kr.,20.262.00 kr.,18.695.00 kr.,Sundhedsområdet,Region
Aktivitets- og samværstilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Sundhedsområdet,Stat
Aktivitets- og samværstilbud,31.533.00 kr.,25.724.00 kr.,24.654.00 kr.,26.296.00 kr.,23.550.00 kr.,Sundhedsområdet,I alt
Aktivitets- og samværstilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Uddannelsesområdet,Kommune
Aktivitets- og samværstilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Uddannelsesområdet,Region
Aktivitets- og samværstilbud,4.136.00 kr.,3.716.00 kr.,3.514.00 kr.,3.201.00 kr.,2.440.00 kr.,Uddannelsesområdet,Stat
Aktivitets- og samværstilbud,4.136.00 kr.,3.716.00 kr.,3.514.00 kr.,3.201.00 kr.,2.440.00 kr.,Uddannelsesområdet,I alt
Ingen aktivitets- og samværstilbud,398.625.00 kr.,375.683.00 kr.,363.247.00 kr.,349.173.00 kr.,336.234.00 kr.,I alt,I alt
Ingen aktivitets- og samværstilbud,67.195.00 kr.,63.717.00 kr.,62.663.00 kr.,58.731.00 kr.,56.863.00 kr.,Beskæftigelsesområd,Kommune
Ingen aktivitets- og samværstilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Beskæftigelsesområd,Region
Ingen aktivitets- og samværstilbud,22.912.00 kr.,22.403.00 kr.,23.351.00 kr.,21.812.00 kr.,21.021.00 kr.,Beskæftigelsesområd,Stat
