Adresse,Link,Type,Pris,Værelser,Boligstørrelse,Grundstørrelse,latitude,longitude
"Kaløvej 14,  8543 Hornslet",https://www.boliga.dk/adresse/kaloevej-14-8543-hornslet-1301559619,Villa med 8 værelser,7.800.000 kr.,8,236 m²,2.000 m²,56.292824,10.34979
"Koldingvej 89,  6040 Egtved",https://www.boliga.dk/adresse/koldingvej-89-6040-egtved-1955023256,Landejendom med 6 værelser,8.295.000 kr.,6,225 m²,30.305 m²,55.545102,9.417422
"Smedekærvej 9,  2770 Kastrup",https://www.boliga.dk/adresse/smedekaervej-9-2770-kastrup-1275111169,Villa med 8 værelser,8.495.000 kr.,8,291 m²,1.541 m²,55.627682,12.600054
"Kystvejen 48, Handrup Strand,  8400 Ebeltoft",https://www.boliga.dk/adresse/kystvejen-48-8400-ebeltoft-1998830938,Fritidshus med 4 værelser,12.000.000 kr.,4,109 m²,7.271 m²,56.226669,10.632987
"Smidstruplund 14,  2950 Vedbæk",https://www.boliga.dk/adresse/smidstruplund-14-2950-vedbaek-167728669,Villa med 5 værelser,12.500.000 kr.,5,254 m²,1.800 m²,55.865586,12.547379
"Constantiavej 14,  2960 Rungsted Kyst",https://www.boliga.dk/adresse/constantiavej-14-2960-rungsted-kyst-1752395085,Villa med 8 værelser,13.500.000 kr.,8,221 m²,1.730 m²,55.889032,12.51706
"Strandvejen 164A,  2920 Charlottenlund",https://www.boliga.dk/adresse/strandvejen-164a-2920-charlottenlund-342013834,Villa med 5 værelser,27.000.000 kr.,5,229 m²,1.600 m²,55.751178,12.590731
"Fuglekildevej 67,  5690 Tommerup",https://www.boliga.dk/adresse/fuglekildevej-67-5690-tommerup-1187470211,Villa med 3 værelser,99.009 kr.,3,73 m²,1.558 m²,55.290387,10.20165
"Thorup Strandvej 25,  9690 Fjerritslev",https://www.boliga.dk/adresse/thorup-strandvej-25-9690-fjerritslev-1275593942,Villa med 4 værelser,395.000 kr.,4,90 m²,3.974 m²,57.105463,9.122465
"Østeråsene 38,  9900 Frederikshavn",https://www.boliga.dk/adresse/oesteraasene-38-9900-frederikshavn-1756293247,Helårsgrund,995.000 kr.,1.787 m²,Ejerudgift: 1.465 kr. / md.,,57.435103,10.48109
"Mariagervej 480,  8981 Spentrup",https://www.boliga.dk/adresse/mariagervej-480-8981-spentrup-1117434957,Villa med 4 værelser,995.000 kr.,4,154 m²,2.217 m²,56.554726,10.001622
"Odde Naturpark 55,  9560 Hadsund",https://www.boliga.dk/adresse/odde-naturpark-55-9560-hadsund-1187713135,Fritidshus med 3 værelser,1.495.000 kr.,3,91 m²,3.054 m²,56.729696,10.320855
