Målgruppe,Kommune,Alder,2018,2019,2020,2021,2022,,
Børn og unge med autisme,Ikast-Brande,Alder i alt,198,217,237,256,265,,
Børn og unge med autisme,Ikast-Brande,0-5 år,21,17,18,21,13,,
Børn og unge med autisme,Ikast-Brande,6-11 år,71,93,104,100,114,,
Børn og unge med autisme,Ikast-Brande,12-17 år,106,107,115,135,138,,
Børn og unge med autisme,Ishøj,Alder i alt,120,128,114,116,131,,
Børn og unge med autisme,Ishøj,0-5 år,15,14,11,5,10,,
Børn og unge med autisme,Ishøj,6-11 år,46,50,48,45,43,,
Børn og unge med autisme,Ishøj,12-17 år,59,64,55,66,78,,
Børn og unge med autisme,Jammerbugt,Alder i alt,98,110,123,127,143,,
Børn og unge med autisme,Jammerbugt,0-5 år,*,*,*,*,*,,
Børn og unge med autisme,Jammerbugt,6-11 år,*,*,*,*,*,,
Børn og unge med autisme,Jammerbugt,12-17 år,70,76,87,95,103,,
Børn og unge med autisme,Kalundborg,Alder i alt,235,242,270,298,303,,
Børn og unge med autisme,Kalundborg,0-5 år,4,4,7,9,6,,
Børn og unge med autisme,Kalundborg,6-11 år,66,66,65,72,71,,
Børn og unge med autisme,Kalundborg,12-17 år,165,172,198,217,226,,
Børn og unge med autisme,Kerteminde,Alder i alt,16,24,24,27,36,,
Børn og unge med autisme,Kerteminde,0-5 år,*,*,*,*,*,,
Børn og unge med autisme,Kerteminde,6-11 år,*,*,*,*,*,,
Børn og unge med autisme,Kerteminde,12-17 år,8,15,15,18,19,,
Børn og unge med autisme,Kolding,Alder i alt,329,308,294,287,274,,
Børn og unge med autisme,Kolding,0-5 år,11,12,11,12,11,,
Børn og unge med autisme,Kolding,6-11 år,82,74,65,60,57,,
Børn og unge med autisme,Kolding,12-17 år,236,222,218,215,206,,
Børn og unge med autisme,København,Alder i alt,2069,2238,2262,2360,2569,,
Børn og unge med autisme,København,0-5 år,172,173,168,190,227,,
Børn og unge med autisme,København,6-11 år,743,808,809,808,794,,
Børn og unge med autisme,København,12-17 år,1154,1257,1285,1362,1548,,
Børn og unge med autisme,Køge,Alder i alt,296,276,286,292,305,,
Børn og unge med autisme,Køge,0-5 år,12,11,9,15,17,,
Børn og unge med autisme,Køge,6-11 år,66,63,74,75,73,,
Børn og unge med autisme,Køge,12-17 år,218,202,203,202,215,,
Børn og unge med autisme,Langeland,Alder i alt,20,18,16,16,15,,
Børn og unge med autisme,Langeland,0-5 år,*,*,*,*,*,,
Børn og unge med autisme,Langeland,6-11 år,*,*,*,*,*,,
Børn og unge med autisme,Langeland,12-17 år,16,15,12,9,9,,
Børn og unge med autisme,Lejre,Alder i alt,195,201,204,206,202,,
Børn og unge med autisme,Lejre,0-5 år,7,6,4,6,6,,
Børn og unge med autisme,Lejre,6-11 år,66,64,64,67,59,,
Børn og unge med autisme,Lejre,12-17 år,122,131,136,133,137,,
Børn og unge med autisme,Lemvig,Alder i alt,50,50,52,52,55,,
Børn og unge med autisme,Lemvig,0-5 år,*,*,*,*,*,,
Børn og unge med autisme,Lemvig,6-11 år,*,*,*,*,*,,
Børn og unge med autisme,Lemvig,12-17 år,28,30,32,33,41,,
Børn og unge med autisme,Lolland,Alder i alt,114,124,128,127,127,,
Børn og unge med autisme,Lolland,0-5 år,*,*,*,*,*,,
Børn og unge med autisme,Lolland,6-11 år,*,*,*,*,*,,
Børn og unge med autisme,Lolland,12-17 år,84,92,95,91,93,,
Børn og unge med autisme,Lyngby-Taarbæk,Alder i alt,216,241,257,255,270,,
Børn og unge med autisme,Lyngby-Taarbæk,0-5 år,8,9,10,10,19,,
Børn og unge med autisme,Lyngby-Taarbæk,6-11 år,82,86,73,73,68,,
Børn og unge med autisme,Lyngby-Taarbæk,12-17 år,126,146,174,172,183,,
Børn og unge med autisme,Læsø,Alder i alt,*,*,*,*,*,,
Børn og unge med autisme,Læsø,0-5 år,*,*,*,*,*,,
Børn og unge med autisme,Læsø,6-11 år,*,*,*,*,*,,
Børn og unge med autisme,Læsø,12-17 år,*,*,*,*,*,,
Børn og unge med autisme,Mariagerfjord,Alder i alt,98,114,110,114,127,,
Børn og unge med autisme,Mariagerfjord,0-5 år,*,*,*,*,*,,
Børn og unge med autisme,Mariagerfjord,6-11 år,*,*,*,*,*,,
Børn og unge med autisme,Mariagerfjord,12-17 år,73,85,85,87,92,,
Børn og unge med autisme,Middelfart,Alder i alt,59,57,58,83,94,,
Børn og unge med autisme,Middelfart,0-5 år,5,4,6,7,5,,
Børn og unge med autisme,Middelfart,6-11 år,9,8,13,25,24,,
Børn og unge med autisme,Middelfart,12-17 år,45,45,39,51,65,,
Børn og unge med autisme,Morsø,Alder i alt,27,30,42,44,51,,
Børn og unge med autisme,Morsø,0-5 år,*,*,*,*,*,,
Børn og unge med autisme,Morsø,6-11 år,*,*,*,*,*,,
Børn og unge med autisme,Morsø,12-17 år,18,16,26,29,36,,
Børn og unge med autisme,Norddjurs,Alder i alt,125,141,154,164,173,,
Børn og unge med autisme,Norddjurs,0-5 år,12,9,9,5,10,,
Børn og unge med autisme,Norddjurs,6-11 år,42,44,43,46,40,,
Børn og unge med autisme,Norddjurs,12-17 år,71,88,102,113,123,,
Børn og unge med autisme,Nordfyns,Alder i alt,38,36,28,41,44,,
Børn og unge med autisme,Nordfyns,0-5 år,*,*,*,*,*,,
Børn og unge med autisme,Nordfyns,6-11 år,*,*,*,*,*,,
Børn og unge med autisme,Nordfyns,12-17 år,31,27,21,30,28,,
Børn og unge med autisme,Nyborg,Alder i alt,28,28,35,38,44,,
Børn og unge med autisme,Nyborg,0-5 år,*,*,*,*,*,,
Børn og unge med autisme,Nyborg,6-11 år,*,*,*,*,*,,
Børn og unge med autisme,Nyborg,12-17 år,18,18,23,25,31,,
Børn og unge med autisme,Næstved,Alder i alt,271,304,329,372,375,,
Børn og unge med autisme,Næstved,0-5 år,*,7,15,23,24,,
Børn og unge med autisme,Næstved,6-11 år,*,96,104,116,117,,
Børn og unge med autisme,Næstved,12-17 år,178,201,210,233,234,,
Børn og unge med autisme,Odder,Alder i alt,105,106,112,112,124,,
Børn og unge med autisme,Odder,0-5 år,*,*,*,*,*,,
Børn og unge med autisme,Odder,6-11 år,*,*,*,*,*,,
Børn og unge med autisme,Odder,12-17 år,58,67,73,76,89,,
Børn og unge med autisme,Odense,Alder i alt,228,227,245,249,286,,
Børn og unge med autisme,Odense,0-5 år,31,35,39,34,33,,
Børn og unge med autisme,Odense,6-11 år,65,71,73,86,98,,
Børn og unge med autisme,Odense,12-17 år,132,121,133,129,155,,
Børn og unge med autisme,Hele landet,0-5 år,1104,1128,1139,1274,1352,,
Børn og unge med autisme,Hele landet,6-11 år,6380,6789,6889,7010,7181,,
Børn og unge med autisme,Hele landet,12-17 år,11856,12806,13560,14623,15829,,
Børn og unge med autisme,Aabenraa,Alder i alt,195,198,193,191,204,,
Børn og unge med autisme,Aabenraa,0-5 år,0,*,3,7,5,,
Børn og unge med autisme,Aabenraa,6-11 år,73,*,51,41,44,,
Børn og unge med autisme,Aabenraa,12-17 år,122,136,139,143,155,,
Børn og unge med autisme,Hele landet,Alder i alt,19340,20723,21588,22907,24362,,
Børn og unge med autisme,Odsherred,0-5 år,3,7,7,*,4,,
Børn og unge med autisme,Odsherred,6-11 år,55,51,48,*,46,,
Børn og unge med autisme,Odsherred,12-17 år,90,99,118,127,128,,
Børn og unge med autisme,Randers,Alder i alt,383,408,415,451,456,,
Børn og unge med autisme,Randers,0-5 år,22,27,28,25,20,,
Børn og unge med autisme,Randers,6-11 år,154,168,152,149,157,,
Børn og unge med autisme,Randers,12-17 år,207,213,235,277,279,,
Børn og unge med autisme,Odsherred,Alder i alt,148,157,173,182,178,,
Børn og unge med autisme,Rebild,0-5 år,*,*,*,*,*,,
Børn og unge med autisme,Rebild,6-11 år,*,*,*,*,*,,
Børn og unge med autisme,Rebild,12-17 år,51,56,57,56,67,,
Børn og unge med autisme,Ringkøbing-Skjern,Alder i alt,174,178,191,194,192,,
Børn og unge med autisme,Ringkøbing-Skjern,0-5 år,14,10,6,8,10,,
Børn og unge med autisme,Ringkøbing-Skjern,6-11 år,61,60,61,64,52,,
Børn og unge med autisme,Ringkøbing-Skjern,12-17 år,99,108,124,122,130,,
Børn og unge med autisme,Rebild,Alder i alt,66,73,70,74,94,,
Børn og unge med autisme,Ringsted,0-5 år,5,8,9,9,7,,
Børn og unge med autisme,Ringsted,6-11 år,58,50,42,39,31,,
Børn og unge med autisme,Ringsted,12-17 år,103,114,120,121,123,,
Børn og unge med autisme,Roskilde,Alder i alt,485,496,507,583,567,,
Børn og unge med autisme,Roskilde,0-5 år,16,11,13,31,28,,
Børn og unge med autisme,Roskilde,6-11 år,163,146,130,131,137,,
Børn og unge med autisme,Roskilde,12-17 år,306,339,364,421,402,,
Børn og unge med autisme,Ringsted,Alder i alt,166,172,171,169,161,,
Børn og unge med autisme,Rudersdal,0-5 år,13,12,12,16,13,,
Børn og unge med autisme,Rudersdal,6-11 år,64,81,82,84,83,,
Børn og unge med autisme,Rudersdal,12-17 år,129,138,140,143,167,,
Børn og unge med autisme,Rødovre,Alder i alt,173,199,205,199,205,,
Børn og unge med autisme,Rødovre,0-5 år,14,14,9,5,4,,
Børn og unge med autisme,Rødovre,6-11 år,59,71,67,64,68,,
Børn og unge med autisme,Rødovre,12-17 år,100,114,129,130,133,,
Børn og unge med autisme,Rudersdal,Alder i alt,206,231,234,243,263,,
Børn og unge med autisme,Samsø,0-5 år,*,*,*,*,*,,
