Adresse,City,Link,Type,Størrelse,Pris,Pris_m2,latitude,longitude,kommune
Perimetervejen 79A,3500 Værløse,https://www.ejendomstorvet.dk/koeb/nordsjaelland/furesoe/grunde/7a2abd02-4eff-4c65-8803-d7825cb332fb,"Grunde, salg",11.262 m²,0 kr.,0 kr./m²,55.761696,12.308917,Furesø Kommune
Farverhusvej 14,6261 Bredebro,https://www.ejendomstorvet.dk/koeb/sydjylland/toender/lager-produktion/8c214c11-2242-4941-bf07-fe6233bb0ec5,"Lager & produktion, salg",1.055 m²,1.900.000 kr.,1.800 kr./m²,55.060994,8.823552,Tønder Kommune
Blokken 36,3460 Birkerød,https://www.ejendomstorvet.dk/koeb/nordsjaelland/rudersdal/lager-produktion/b4697bb0-beac-43e6-86f4-873b12c02678,"Lager & produktion, salg",840 m²,4.900.000 kr.,5.833 kr./m²,55.834866,12.402703,Rudersdal Kommune
Ejbyvej 56,4623 Lille Skensved,https://www.ejendomstorvet.dk/koeb/oestsjaelland/koege/lager-produktion/5ec52d2b-b4ac-4784-850f-34a4eeaac166,"Lager & produktion, salg",455 m²,4.995.000 kr.,10.978 kr./m²,55.48913,12.082323,Køge Kommune
"Østergade 43A, st.",4930 Maribo,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/lolland/hotel-restaurant/ef6426a5-8bfa-4473-8c88-527888b0e157,"Hotel & restaurant, salg",265 m²,1.295.000 kr.,4.886 kr./m²,55.3089119,12.3921028,Stevns Kommune
Klintevej 4,8653 Them,https://www.ejendomstorvet.dk/koeb/oestjylland/silkeborg/lager-produktion/01999a92-56fb-4aab-a88e-97f4cf8964b0,"Lager & produktion, salg",1.751 m²,4.500.000 kr.,2.569 kr./m²,56.198354,10.252386,Aarhus Kommune
Industrivej 26B,6330 Padborg,https://www.ejendomstorvet.dk/koeb/sydjylland/aabenraa/lager-produktion/b321c808-22a8-4b23-b6d7-f557dca00dbc,"Lager & produktion, salg",1.920 m²,12.500.000 kr.,6.510 kr./m²,55.755489,11.955538,Frederikssund Kommune
Gl Hovedgade 10B,2970 Hørsholm,https://www.ejendomstorvet.dk/koeb/nordsjaelland/hoersholm/hotel-restaurant/0c9cd6da-d203-4759-884f-0a7c5c6a2b99,"Hotel & restaurant, salg",82 m²,1.000.000 kr.,12.195 kr./m²,55.877414,12.498167,Hørsholm Kommune
Gødstrupvej 6,7400 Herning,https://www.ejendomstorvet.dk/koeb/vestjylland/herning/andre-typer/70dba6e4-b118-4e35-a22e-9ad457011955,"Andre typer, salg",896 m²,3.995.000 kr.,4.458 kr./m²,56.135144,8.906511,Herning Kommune
Østerlund 2A,9870 Sindal,https://www.ejendomstorvet.dk/koeb/nordjylland/hjoerring/andre-typer/caf577e5-7c3b-42b0-baad-9758699cc204,"Andre typer, salg",268 m²,1.150.000 kr.,4.291 kr./m²,55.838107,12.545483,Rudersdal Kommune
